tweet_id,safe_text,label,agreement,cleaned_safe_text
YMRMEDME,Mickey's Measles has gone international <url>,0.0,1.0,mickey s measles ha gone international url
5GV8NEZS,S1256 [NEW] Extends exemption from charitable immunity for certain civil actions to persons of any age who are be... <url>,0.0,1.0,s new extends exemption from charitable immunity for certain civil action to person of any age who are be url
EI10PS46,<user>  your ignorance on vaccines isn't just dangerous to your innocent child but to others around you. Shame on you.,1.0,0.6666666666666666,user your ignorance on vaccine isn t just dangerous to your innocent child but to others around you shame on you
OM26E6DG,"Pakistan partly suspends polio vaccination program after terrorists kill health workers
<url>",0.0,1.0,pakistan partly suspends polio vaccination program after terrorist kill health worker url
NBBY86FX,In other news I've gone up like 1000 mmr,0.0,1.0,in other news i ve gone up like mmr
LNIH6DYP,How vaccines changed the course of US disease over time <url>,0.0,0.6666666666666666,how vaccine changed the course of u disease over time url
P93QRRP9,“<user> CDC: Highest number of U.S. measles cases in first five months of a year since 1994. <url> <user> 😑,0.0,0.6666666666666666,user cdc highest number of u s measles case in first five month of a year since url user
ZCZ08I3K,"<user> shld put out a statement ""<user> shameful <user> tells FB followers not to worry about measles. <url>",-1.0,0.3333333333333333,user shld put out a statement user shameful user tell fb follower not to worry about measles url
1TIDQ8T3,"<user> vaccines causes brain swelling, fever, seizures, and ultimately brain damage.  Encephalitis = Autism.  Read package inserts!",-1.0,1.0,user vaccine cause brain swelling fever seizure and ultimately brain damage encephalitis autism read package insert
3M07O2A6,<user> #HearThisWell Vaccines r linked 2 autism IBD Peds Note MMR 15 mos #CDCwhistleblower #BreakABillion #B1Less <url>,-1.0,1.0,user hearthiswell vaccine r linked autism ibd peds note mmr mo cdcwhistleblower breakabillion b le url
QSHW6MHQ,New Recommended Immunization Schedules out from #cdc <url>,0.0,0.6666666666666666,new recommended immunization schedule out from cdc url
SFS1RIG6,"<url>
Mom whose child died after catching Chicken Pox advocates for vaccines.",1.0,0.6666666666666666,url mom whose child died after catching chicken pox advocate for vaccine
1ML1LUUS,"My friend <user> had ""measles night"" at his Awana Club. 1 ""measle"" for every verse memorized. 31 @ Awa <url>",0.0,1.0,my friend user had measles night at his awana club measle for every verse memorized awa url
XUAQBFT3,Great overview of #HPV &amp; HPV #vaccines by <user> <url>,0.0,0.6666666666666666,great overview of hpv amp hpv vaccine by user url
Z92OIYVT,<user> I'll make sure to post that once I get through with MMR.,0.0,0.6666666666666666,user i ll make sure to post that once i get through with mmr
